CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ACC,0,0,0,0,0,0,0,0,0,1968.15,2401.54,2220.23,2633.31,2372.64,4517.5,6441.6,14578.34,13765.14,15500.11,10822.57,17843.75,20186.88,25465.47,21802.47,26126.35,29300.27,25915.13,27156.86,28322.07,31191.46,18168.42,35727.46
Advance Petroch.,0,0,0,0,0,0,0,0,0,0.81,2.24,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,2.27,2.03,0,3.51,0,3.46
Aegis Logistics,0,0,0,0,0,0,0,0,0,22.51,19.53,13.24,13.56,11.85,26.47,97.14,411.28,191.42,403.88,115.65,413.32,966.43,500.5,424.35,565.63,2030.39,3249.82,6491.29,8645.59,6778.53,4731.56,10451.03
Alfred Herbert,0,0,0,0,0,0,0,0,0,3.37,2.45,0,0,0,0,4.37,7.47,17.19,12.92,7.68,12.56,15.17,16.5,17.63,18.73,26.9,27.87,42.06,71.21,49.65,40.04,43.03
Ambalal Sarabhai,0,0,0,0,0,0,0,0,0,83.42,51.94,32.46,28.24,21.75,43.63,67.71,100.7,94.87,198.1,62.07,82.53,49.81,30.5,19.54,18.16,29.27,51.04,94.64,81.54,109.51,145.99,135.26
Amrutanjan Healt,0,0,0,0,0,0,0,0,0,0,0,0,0,21.12,28.16,34.69,68,90.45,89.38,106.02,308.35,187.81,224.13,169.61,183.42,699.2,609.9,862.6,786.01,908.34,964.46,1661.03
Andhra Cements,0,0,0,0,0,0,0,0,0,53.87,51.03,31.19,30.05,28.35,18.43,120.77,205.54,252.96,308.96,229.26,367.01,206.03,285.59,193.72,165.25,257.42,240.69,265.05,282.37,149.7,47.55,158.5
Andhra Paper,0,0,0,0,0,0,0,0,0,21.73,60.14,53.33,54.06,43.89,94.23,141.55,270.95,214.26,186.93,101.5,261.67,1126.88,723.22,766.96,917.69,1255.14,1168.44,1282.18,1155.12,1776.92,574.68,872.95
Apollo Tyres,0,0,0,0,0,0,0,0,0,170.59,427.3,181.42,284.93,447.83,953.71,1095.18,1107.45,1298.5,2012.21,916.27,3575.88,3505.32,3999.24,4203.36,8028.72,8564.34,8907.93,10620.8,15754.26,12685.21,4539.22,14210.38
Utique Enterp.,0,0,0,0,0,0,0,0,0,55.67,57.34,6.68,3.06,2.51,3.73,22.21,9.91,15.81,32.51,9.52,22.21,16.65,12.86,8.57,10.86,13.31,10.13,15.14,14.75,8.91,6.96,10.19
